front,back,tags
最,"zuì<br>(before an adjective or verb) to the highest degree; (the) most ...; -est; (after 之[zhi1]) best or most extreme example (e.g. 世界之最[shi4 jie4 zhi1 zui4] ""the greatest in the world"")<br><small>最为 (zuì wèi); 最优 (zuì yōu); 最佳 (zuì jiā)</small>",hsk1_core
本,běn<br>(bound form) root; stem; (bound form) origin; source; (bound form) one's own; this; (bound form) this; the current (year etc); (bound form) original; (bound form) inherent; origina<br><small>书本 (shū běn); 亏本 (kuī běn); 传本 (chuán běn)</small>,hsk1_core
向,xiàng<br>surname Xiang<br><small>一向 (yí xiàng); 倾向 (qīng xiàng); 偏向 (piān xiàng)</small>,hsk1_core
分,fēn<br>to divide; to separate; to distribute; to allocate; to distinguish (good and bad); (bound form) branch of (an organization); sub- (as in 分局[fen1 ju2]); fraction; one tenth (of cert<br><small>万分 (wàn fēn); 三分 (sān fēn); 上分 (shàng fēn)</small>,hsk1_core
十,shí<br>ten; 10<br><small>七十 (qī shí); 三十 (sān shí); 九十 (jiǔ shí)</small>,hsk1_core
学,xué<br>to learn; to study; to imitate; science; -ology<br><small>学生 (xué shēng); 学校 (xué xiào); 学习 (xué xí)</small>,hsk1_core
高,gāo<br>surname Gao<br><small>乐高 (lè gāo); 偏高 (piān gāo); 净高 (jìng gāo)</small>,hsk1_core
第,"dì<br>(prefix indicating ordinal number, as in 第六[di4 liu4] ""sixth""); (literary) grades in which successful candidates in the imperial examinations were placed; (old) residence of a high<br><small>上第 (shàng dì); 不第 (bù dì); 及第 (jí dì)</small>",hsk1_core
感,gǎn<br>to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~<br><small>乐感 (yuè gǎn); 传感 (chuán gǎn); 伤感 (shāng gǎn)</small>,hsk1_core
怎,zěn<br>how<br><small>怎么 (zěn me); 怎样 (zěn yàng); 怎生 (zěn shēng)</small>,hsk1_core
神,shén<br>God<br><small>传神 (chuán shén); 傩神 (nuó shén); 元神 (yuán shén)</small>,hsk1_core
听,tīng<br>smile (archaic)<br><small>中听 (zhōng tīng); 任听 (rèn tīng); 侦听 (zhēn tīng)</small>,hsk1_core
边,biān<br>side; edge; margin; border; boundary; CL:個|个[ge4]; simultaneously<br><small>一边 (yī biān); 上边 (shàng biān); 下边 (xià biān)</small>,hsk1_core
作,zuò<br>(bound form) worker; (bound form) workshop; (slang) troublesome; high-maintenance (person)<br><small>工作 (gōng zuò); 作业 (zuò yè); 合作 (hé zuò)</small>,hsk1_core
其,qí<br>his; her; its; their; that; such; it (refers to sth preceding it)<br><small>何其 (hé qí); 其一 (qí yī); 其三 (qí sān)</small>,hsk1_core
